e7138 mingledBundleVertexId0 mingledBundleVertexId0 
e7076 mingledBundleVertexId1 mingledBundleVertexId2 e7138
e1137 mingledBundleVertexId3 mingledBundleVertexId4 e7076
e47 pointId48 pointId2 e1137
e156 pointId157 pointId2 e1137
e75 pointId76 pointId2 e7076
e7109 mingledBundleVertexId5 mingledBundleVertexId5 e7138
e149 pointId150 pointId2 e7109
e7095 mingledBundleVertexId6 mingledBundleVertexId6 e7109
e7073 mingledBundleVertexId7 mingledBundleVertexId8 e7095
e6700 mingledBundleVertexId9 mingledBundleVertexId10 e7073
e43 pointId44 pointId2 e6700
e173 pointId174 pointId2 e6700
e70 pointId71 pointId2 e6700
e125 pointId126 pointId2 e6700
e95 pointId96 pointId2 e6700
e138 pointId139 pointId2 e7073
e7060 mingledBundleVertexId11 mingledBundleVertexId12 e7095
e6934 mingledBundleVertexId13 mingledBundleVertexId14 e7060
e6504 mingledBundleVertexId15 mingledBundleVertexId16 e6934
e1214 mingledBundleVertexId17 mingledBundleVertexId18 e6504
e37 pointId38 pointId2 e1214
e101 pointId102 pointId2 e1214
e52 pointId53 pointId2 e1214
e2779 mingledBundleVertexId19 mingledBundleVertexId20 e6504
e162 pointId163 pointId2 e2779
e179 pointId180 pointId2 e2779
e93 pointId94 pointId2 e6504
e3456 mingledBundleVertexId21 mingledBundleVertexId22 e6934
e77 pointId78 pointId2 e3456
e128 pointId129 pointId2 e3456
e216 pointId217 pointId2 e3456
e6975 mingledBundleVertexId23 mingledBundleVertexId24 e7060
e6563 mingledBundleVertexId25 mingledBundleVertexId26 e6975
e150 pointId151 pointId2 e6563
e119 pointId120 pointId2 e6563
e74 pointId75 pointId2 e6975
e18 pointId19 pointId2 e6975
e7142 mingledBundleVertexId27 mingledBundleVertexId27 
e7069 mingledBundleVertexId28 mingledBundleVertexId29 e7142
e6602 mingledBundleVertexId30 mingledBundleVertexId31 e7069
e4831 mingledBundleVertexId32 mingledBundleVertexId33 e6602
e1409 mingledBundleVertexId34 mingledBundleVertexId35 e4831
e4 pointId5 pointId2 e1409
e106 pointId107 pointId2 e1409
e21 pointId22 pointId2 e1409
e62 pointId63 pointId2 e1409
e2821 mingledBundleVertexId36 mingledBundleVertexId37 e4831
e11 pointId12 pointId2 e2821
e165 pointId166 pointId2 e2821
e16 pointId17 pointId2 e2821
e19 pointId20 pointId2 e2821
e166 pointId167 pointId2 e2821
e5485 mingledBundleVertexId38 mingledBundleVertexId39 e6602
e548 mingledBundleVertexId40 mingledBundleVertexId41 e5485
e17 pointId18 pointId2 e548
e127 pointId128 pointId2 e548
e3590 mingledBundleVertexId42 mingledBundleVertexId43 e5485
e85 pointId86 pointId2 e3590
e137 pointId138 pointId2 e3590
e98 pointId99 pointId2 e3590
e103 pointId104 pointId2 e3590
e6 pointId7 pointId2 e3590
e731 mingledBundleVertexId44 mingledBundleVertexId45 e5485
e9 pointId10 pointId2 e731
e1 pointId1 pointId2 e731
e14 pointId15 pointId2 e731
e26 pointId27 pointId2 e731
e2224 mingledBundleVertexId46 mingledBundleVertexId47 e5485
e122 pointId123 pointId2 e2224
e168 pointId169 pointId2 e2224
e3147 mingledBundleVertexId48 mingledBundleVertexId49 e5485
e111 pointId112 pointId2 e3147
e114 pointId115 pointId2 e3147
e132 pointId133 pointId2 e3147
e189 pointId190 pointId2 e3147
e2905 mingledBundleVertexId50 mingledBundleVertexId51 e5485
e40 pointId41 pointId2 e2905
e97 pointId98 pointId2 e2905
e48 pointId49 pointId2 e2905
e69 pointId70 pointId2 e2905
e112 pointId113 pointId2 e2905
e171 pointId172 pointId2 e2905
e4869 mingledBundleVertexId52 mingledBundleVertexId53 e6602
e1888 mingledBundleVertexId54 mingledBundleVertexId55 e4869
e46 pointId47 pointId2 e1888
e68 pointId69 pointId2 e1888
e59 pointId60 pointId2 e1888
e94 pointId95 pointId2 e1888
e3002 mingledBundleVertexId56 mingledBundleVertexId57 e4869
e67 pointId68 pointId2 e3002
e78 pointId79 pointId2 e3002
e90 pointId91 pointId2 e3002
e133 pointId134 pointId2 e3002
e176 pointId177 pointId2 e3002
e6616 mingledBundleVertexId58 mingledBundleVertexId59 e7069
e4809 mingledBundleVertexId60 mingledBundleVertexId61 e6616
e1256 mingledBundleVertexId62 mingledBundleVertexId63 e4809
